2024-12-22 19:34:53, INFO: Current git head hash code: %s
2024-12-22 19:34:53, INFO: Using device: cuda:0
2024-12-22 19:34:53, INFO: Policy: SARL w/ global state
2024-12-22 19:34:55, INFO: robot number: 8
2024-12-22 19:34:55, INFO: human number: 5
2024-12-22 19:34:55, INFO: Not randomize human's radius and preferred speed
2024-12-22 19:34:55, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-22 19:34:55, INFO: Square width: 10.0, circle width: 4.0
2024-12-22 19:34:55, INFO: Current learning rate: 0.010000
2024-12-22 20:07:57, INFO: Current git head hash code: %s
2024-12-22 20:07:57, INFO: Using device: cuda:0
2024-12-22 20:07:57, INFO: Policy: SARL w/ global state
2024-12-22 20:07:59, INFO: robot number: 8
2024-12-22 20:07:59, INFO: human number: 5
2024-12-22 20:07:59, INFO: Not randomize human's radius and preferred speed
2024-12-22 20:07:59, INFO: Training simulation: circle_crossing, test simulation: circle_crossing
2024-12-22 20:07:59, INFO: Square width: 10.0, circle width: 4.0
2024-12-22 20:07:59, INFO: Load reinforcement learning trained weights. Resume training
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Agent is visible and has holonomic kinematic constraint
2024-12-22 20:07:59, INFO: Current learning rate: 0.001000
2024-12-22 21:19:43, INFO: TRAIN in episode 57 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:19:56, INFO: TRAIN in episode 58 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:20:07, INFO: TRAIN in episode 59 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:20:17, INFO: TRAIN in episode 60 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:20:32, INFO: TRAIN in episode 61 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:20:37, INFO: TRAIN in episode 62 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:20:52, INFO: TRAIN in episode 63 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:21:03, INFO: TRAIN in episode 64 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:21:26, INFO: TRAIN in episode 65 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0001
2024-12-22 21:21:39, INFO: TRAIN in episode 66 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:21:49, INFO: TRAIN in episode 67 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:21:56, INFO: TRAIN in episode 68 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:22:23, INFO: TRAIN in episode 69 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:22:34, INFO: TRAIN in episode 70 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0003
2024-12-22 21:22:53, INFO: TRAIN in episode 71 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:23:35, INFO: TRAIN in episode 72 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:24:15, INFO: TRAIN in episode 73 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:24:49, INFO: TRAIN in episode 74 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:24:59, INFO: TRAIN in episode 75 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:25:14, INFO: TRAIN in episode 76 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:25:20, INFO: TRAIN in episode 77 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:25:38, INFO: TRAIN in episode 78 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:26:27, INFO: TRAIN in episode 79 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:26:35, INFO: TRAIN in episode 80 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:26:45, INFO: TRAIN in episode 81 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:26:54, INFO: TRAIN in episode 82 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:27:01, INFO: TRAIN in episode 83 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0014
2024-12-22 21:27:25, INFO: TRAIN in episode 84 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:27:33, INFO: TRAIN in episode 85 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:27:54, INFO: TRAIN in episode 86 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:28:27, INFO: TRAIN in episode 87 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:29:25, INFO: TRAIN in episode 88 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:29:39, INFO: TRAIN in episode 89 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:30:09, INFO: TRAIN in episode 90 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:30:26, INFO: TRAIN in episode 91 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:30:59, INFO: TRAIN in episode 92 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:31:24, INFO: TRAIN in episode 93 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:31:35, INFO: TRAIN in episode 94 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:31:42, INFO: TRAIN in episode 95 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:32:11, INFO: TRAIN in episode 96 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:32:30, INFO: TRAIN in episode 97 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:32:38, INFO: TRAIN in episode 98 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:32:54, INFO: TRAIN in episode 99 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:33:00, INFO: TRAIN in episode 100 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0038
2024-12-22 21:33:14, INFO: TRAIN in episode 101 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:33:44, INFO: TRAIN in episode 102 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:34:20, INFO: TRAIN in episode 103 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:35:01, INFO: TRAIN in episode 104 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:35:16, INFO: TRAIN in episode 105 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:35:39, INFO: TRAIN in episode 106 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:35:52, INFO: TRAIN in episode 107 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0002
2024-12-22 21:36:12, INFO: TRAIN in episode 108 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:36:47, INFO: TRAIN in episode 109 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:36:54, INFO: TRAIN in episode 110 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:37:08, INFO: TRAIN in episode 111 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:37:22, INFO: TRAIN in episode 112 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:37:40, INFO: TRAIN in episode 113 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:37:56, INFO: TRAIN in episode 114 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:38:11, INFO: TRAIN in episode 115 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:38:32, INFO: TRAIN in episode 116 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:38:44, INFO: TRAIN in episode 117 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:39:24, INFO: TRAIN in episode 118 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:40:10, INFO: TRAIN in episode 119 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:40:19, INFO: TRAIN in episode 120 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:40:51, INFO: TRAIN in episode 121 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:41:42, INFO: TRAIN in episode 122 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:41:54, INFO: TRAIN in episode 123 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:42:04, INFO: TRAIN in episode 124 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0003
2024-12-22 21:42:32, INFO: TRAIN in episode 125 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:42:49, INFO: TRAIN in episode 126 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:43:06, INFO: TRAIN in episode 127 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:43:11, INFO: TRAIN in episode 128 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:43:26, INFO: TRAIN in episode 129 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:43:32, INFO: TRAIN in episode 130 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0047
2024-12-22 21:43:49, INFO: TRAIN in episode 131 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:44:19, INFO: TRAIN in episode 132 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:44:37, INFO: TRAIN in episode 133 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:45:08, INFO: TRAIN in episode 134 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:45:15, INFO: TRAIN in episode 135 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0011
2024-12-22 21:45:24, INFO: TRAIN in episode 136 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:45:32, INFO: TRAIN in episode 137 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:45:52, INFO: TRAIN in episode 138 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:46:00, INFO: TRAIN in episode 139 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:46:15, INFO: TRAIN in episode 140 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:46:33, INFO: TRAIN in episode 141 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:47:06, INFO: TRAIN in episode 142 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:47:46, INFO: TRAIN in episode 143 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:47:59, INFO: TRAIN in episode 144 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:48:45, INFO: TRAIN in episode 145 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:48:57, INFO: TRAIN in episode 146 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:49:27, INFO: TRAIN in episode 147 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:49:41, INFO: TRAIN in episode 148 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:50:29, INFO: TRAIN in episode 149 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:50:40, INFO: TRAIN in episode 150 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:51:36, INFO: TRAIN in episode 151 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
2024-12-22 21:51:47, INFO: TRAIN in episode 152 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:51:52, INFO: TRAIN in episode 153 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:52:06, INFO: TRAIN in episode 154 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:52:24, INFO: TRAIN in episode 155 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:52:40, INFO: TRAIN in episode 156 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:53:11, INFO: TRAIN in episode 157 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:53:21, INFO: TRAIN in episode 158 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -0.0000
2024-12-22 21:53:36, INFO: TRAIN in episode 159 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0000
2024-12-22 21:54:05, INFO: TRAIN in episode 160 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0001
