2025-03-21 18:22:59, INFO: Current git head hash code: %s
2025-03-21 18:23:00, INFO: Using device: cuda:0
2025-03-21 18:23:04, INFO: robot number: 8
2025-03-21 18:23:04, INFO: human number: 5
2025-03-21 18:23:04, INFO: Not randomize human's radius and preferred speed
2025-03-21 18:24:20, INFO: Episode 850/10000, reward so far: -5.0000
2025-03-21 18:24:20, INFO: Episode 855/10000, reward so far: -5.0000
2025-03-21 18:24:21, INFO: Episode 860/10000, reward so far: -5.0000
2025-03-21 18:24:21, INFO: Episode 865/10000, reward so far: -5.0000
2025-03-21 18:24:22, INFO: Episode 870/10000, reward so far: -5.0000
2025-03-21 18:24:22, INFO: Episode 875/10000, reward so far: -5.0000
2025-03-21 18:24:23, INFO: Episode 880/10000, reward so far: -5.0000
2025-03-21 18:24:23, INFO: Episode 885/10000, reward so far: -5.0000
2025-03-21 18:24:23, INFO: Episode 890/10000, reward so far: -5.0000
2025-03-21 18:24:24, INFO: Episode 895/10000, reward so far: -5.0000
2025-03-21 18:24:24, INFO: Episode 900/10000, reward so far: -5.0000
2025-03-21 18:24:25, INFO: Episode 905/10000, reward so far: -5.0000
2025-03-21 18:24:25, INFO: Episode 910/10000, reward so far: -5.0000
2025-03-21 18:24:25, INFO: Episode 915/10000, reward so far: -5.0000
2025-03-21 18:24:26, INFO: Episode 920/10000, reward so far: -5.0000
2025-03-21 18:24:26, INFO: Episode 925/10000, reward so far: -5.0000
2025-03-21 18:24:27, INFO: Episode 930/10000, reward so far: -5.0000
2025-03-21 18:24:27, INFO: Episode 935/10000, reward so far: -5.0000
2025-03-21 18:24:27, INFO: Episode 940/10000, reward so far: -5.0000
2025-03-21 18:24:28, INFO: Episode 945/10000, reward so far: -5.0000
2025-03-21 18:24:28, INFO: Episode 950/10000, reward so far: -5.0000
2025-03-21 18:24:29, INFO: Episode 955/10000, reward so far: -5.0000
2025-03-21 18:24:29, INFO: Episode 960/10000, reward so far: -5.0000
2025-03-21 18:24:29, INFO: Episode 965/10000, reward so far: -5.0000
2025-03-21 18:24:30, INFO: Episode 970/10000, reward so far: -5.0000
2025-03-21 18:24:30, INFO: Episode 975/10000, reward so far: -5.0000
2025-03-21 18:24:31, INFO: Episode 980/10000, reward so far: -5.0000
2025-03-21 18:24:31, INFO: Episode 985/10000, reward so far: -5.0000
2025-03-21 18:24:32, INFO: Episode 990/10000, reward so far: -5.0000
2025-03-21 18:24:32, INFO: Episode 995/10000, reward so far: -5.0000
2025-03-21 18:24:32, INFO: Episode 1000/10000, reward so far: -5.0000
2025-03-21 18:24:33, INFO: Episode 1005/10000, reward so far: -5.0000
2025-03-21 18:24:33, INFO: Episode 1010/10000, reward so far: -5.0000
2025-03-21 18:24:34, INFO: Episode 1015/10000, reward so far: -5.0000
2025-03-21 18:24:34, INFO: Episode 1020/10000, reward so far: -5.0000
