2025-03-19 10:18:09, INFO: TRAIN in episode 520 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4142
2025-03-19 10:19:18, INFO: TRAIN in episode 521 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3736
2025-03-19 10:22:12, INFO: TRAIN in episode 522 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4236
2025-03-19 10:22:46, INFO: TRAIN in episode 523 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3995
2025-03-19 10:23:29, INFO: TRAIN in episode 524 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4118
2025-03-19 10:26:22, INFO: TRAIN in episode 525 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4117
2025-03-19 10:29:06, INFO: TRAIN in episode 526 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4147
2025-03-19 10:29:57, INFO: TRAIN in episode 527 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1628
2025-03-19 10:32:06, INFO: TRAIN in episode 528 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4101
2025-03-19 10:32:57, INFO: TRAIN in episode 529 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4074
2025-03-19 10:38:41, INFO: TRAIN in episode 530 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4105
2025-03-19 10:41:26, INFO: TRAIN in episode 531 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4093
2025-03-19 10:42:10, INFO: TRAIN in episode 532 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4128
2025-03-19 10:42:53, INFO: TRAIN in episode 533 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4107
2025-03-19 10:45:51, INFO: TRAIN in episode 534 has success rate: 1.00, collision rate: 0.00, nav time: 23.75, total reward: 0.4125
2025-03-19 10:46:55, INFO: TRAIN in episode 535 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3820
2025-03-19 10:50:03, INFO: TRAIN in episode 536 has success rate: 1.00, collision rate: 0.00, nav time: 24.25, total reward: 0.4025
2025-03-19 10:51:11, INFO: TRAIN in episode 537 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3749
2025-03-19 10:54:03, INFO: TRAIN in episode 538 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4074
2025-03-19 10:56:54, INFO: TRAIN in episode 539 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4024
2025-03-19 10:57:37, INFO: TRAIN in episode 540 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2307
2025-03-19 11:00:25, INFO: TRAIN in episode 541 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4101
2025-03-19 11:01:21, INFO: TRAIN in episode 542 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2172
2025-03-19 11:02:07, INFO: TRAIN in episode 543 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4126
2025-03-19 11:02:49, INFO: TRAIN in episode 544 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3973
2025-03-19 11:05:53, INFO: TRAIN in episode 545 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3958
2025-03-19 11:10:32, INFO: TRAIN in episode 546 has success rate: 1.00, collision rate: 0.00, nav time: 33.00, total reward: 0.4197
2025-03-19 11:13:15, INFO: TRAIN in episode 547 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4018
2025-03-19 11:14:13, INFO: TRAIN in episode 548 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4006
2025-03-19 11:17:03, INFO: TRAIN in episode 549 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4062
2025-03-19 11:19:53, INFO: TRAIN in episode 550 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3897
2025-03-19 11:20:36, INFO: TRAIN in episode 551 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3171
2025-03-19 11:23:46, INFO: TRAIN in episode 552 has success rate: 1.00, collision rate: 0.00, nav time: 25.25, total reward: 0.4184
2025-03-19 11:26:39, INFO: TRAIN in episode 553 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4170
2025-03-19 11:28:28, INFO: TRAIN in episode 554 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.0307
2025-03-19 11:31:30, INFO: TRAIN in episode 555 has success rate: 1.00, collision rate: 0.00, nav time: 26.50, total reward: 0.4008
2025-03-19 11:34:27, INFO: TRAIN in episode 556 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.1755
2025-03-19 11:37:16, INFO: TRAIN in episode 557 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4148
2025-03-19 11:38:36, INFO: TRAIN in episode 558 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3944
2025-03-19 11:39:23, INFO: TRAIN in episode 559 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4111
2025-03-19 11:42:46, INFO: TRAIN in episode 560 has success rate: 1.00, collision rate: 0.00, nav time: 25.75, total reward: 0.4143
2025-03-19 11:43:26, INFO: TRAIN in episode 561 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4109
2025-03-19 11:47:17, INFO: TRAIN in episode 562 has success rate: 1.00, collision rate: 0.00, nav time: 28.00, total reward: 0.4064
2025-03-19 11:48:13, INFO: TRAIN in episode 563 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.2956
2025-03-19 11:51:01, INFO: TRAIN in episode 564 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4107
2025-03-19 11:51:47, INFO: TRAIN in episode 565 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.3826
2025-03-19 11:54:42, INFO: TRAIN in episode 566 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4061
2025-03-19 11:55:23, INFO: TRAIN in episode 567 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4011
2025-03-19 11:58:08, INFO: TRAIN in episode 568 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4169
2025-03-19 11:59:01, INFO: TRAIN in episode 569 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4140
2025-03-19 12:03:32, INFO: TRAIN in episode 570 has success rate: 1.00, collision rate: 0.00, nav time: 31.25, total reward: 0.4097
2025-03-19 12:04:09, INFO: TRAIN in episode 571 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 0.4013
