2025-04-17 18:56:24, INFO: TRAIN in episode 63 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 28.9448
2025-04-17 18:57:24, INFO: TRAIN in episode 64 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -35.1806
2025-04-17 18:58:23, INFO: TRAIN in episode 65 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -4.0051
2025-04-17 18:59:23, INFO: TRAIN in episode 66 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -29.2455
2025-04-17 19:00:27, INFO: TRAIN in episode 67 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -38.4452
2025-04-17 19:01:31, INFO: TRAIN in episode 68 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -35.2492
2025-04-17 19:02:30, INFO: TRAIN in episode 69 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -38.1130
2025-04-17 19:03:28, INFO: TRAIN in episode 70 has success rate: 0.00, collision rate: 0.00, nav time: 35.00, total reward: 22.0157
2025-04-17 19:04:23, INFO: TRAIN in episode 71 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -7.9108
2025-04-17 19:05:27, INFO: TRAIN in episode 72 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -29.3342
2025-04-17 19:06:01, INFO: TRAIN in episode 73 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -23.4065
2025-04-17 19:07:01, INFO: TRAIN in episode 74 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -31.2370
2025-04-17 19:08:11, INFO: TRAIN in episode 75 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -35.2425
2025-04-17 19:09:07, INFO: TRAIN in episode 76 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -35.2198
2025-04-17 19:09:46, INFO: TRAIN in episode 77 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.9042
2025-04-17 19:10:32, INFO: TRAIN in episode 78 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -28.5942
2025-04-17 19:11:40, INFO: TRAIN in episode 79 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.4991
2025-04-17 19:12:43, INFO: TRAIN in episode 80 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 1.5483
2025-04-17 19:13:15, INFO: TRAIN in episode 81 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -24.1556
2025-04-17 19:14:14, INFO: TRAIN in episode 82 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -3.4897
2025-04-17 19:15:39, INFO: TRAIN in episode 83 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -26.2663
2025-04-17 19:16:44, INFO: TRAIN in episode 84 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -18.5672
2025-04-17 19:17:38, INFO: TRAIN in episode 85 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: 2.8320
2025-04-17 19:18:39, INFO: TRAIN in episode 86 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -34.4383
2025-04-17 19:19:38, INFO: TRAIN in episode 87 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.3724
2025-04-17 19:20:42, INFO: TRAIN in episode 88 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -33.6466
2025-04-17 19:21:39, INFO: TRAIN in episode 89 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -14.1781
2025-04-17 19:22:09, INFO: TRAIN in episode 90 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -21.8426
2025-04-17 19:22:29, INFO: TRAIN in episode 91 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -15.1143
2025-04-17 19:23:25, INFO: TRAIN in episode 92 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.2435
2025-04-17 19:24:26, INFO: TRAIN in episode 93 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -32.6365
2025-04-17 19:25:27, INFO: TRAIN in episode 94 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -36.8804
2025-04-17 19:25:49, INFO: TRAIN in episode 95 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -14.2141
2025-04-17 19:26:49, INFO: TRAIN in episode 96 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -14.6135
2025-04-17 19:27:12, INFO: TRAIN in episode 97 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -17.2762
2025-04-17 19:28:14, INFO: TRAIN in episode 98 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -5.6242
2025-04-17 19:29:23, INFO: TRAIN in episode 99 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -43.2057
2025-04-17 19:30:24, INFO: TRAIN in episode 100 has success rate: 0.00, collision rate: 1.00, nav time: 35.00, total reward: -16.1021
